Country,EdLevel,YearsCodePro,Industry,Salary
Australia,Bachelor's Degree,3.0,Other,56188.0
United Kingdom and Northern Ireland,Master's Degree,8.0,Legal Services,109242.0
Australia,Bachelor's Degree,8.0,"Information Services, IT, Software Development, or other Technology",132208.0
Germany,Master's Degree,2.0,"Information Services, IT, Software Development, or other Technology",64254.0
United States of America,Less than a Bachelor's,13.0,"Information Services, IT, Software Development, or other Technology",250000.0
United Kingdom and Northern Ireland,Less than a Bachelor's,2.0,"Information Services, IT, Software Development, or other Technology",34759.0
France,Master's Degree,11.0,"Information Services, IT, Software Development, or other Technology",101735.0
United Kingdom and Northern Ireland,Bachelor's Degree,18.0,"Manufacturing, Transportation, or Supply Chain",71504.0
United Kingdom and Northern Ireland,Bachelor's Degree,8.0,Retail and Consumer Services,74483.0
France,Bachelor's Degree,1.0,"Information Services, IT, Software Development, or other Technology",29450.0
United States of America,Less than a Bachelor's,16.0,Financial Services,270000.0
United States of America,Bachelor's Degree,15.0,"Manufacturing, Transportation, or Supply Chain",170000.0
Spain,Post Grad,11.0,Other,25701.0
India,Bachelor's Degree,5.0,"Information Services, IT, Software Development, or other Technology",53314.0
United States of America,Bachelor's Degree,7.0,Advertising Services,135000.0
Australia,Bachelor's Degree,5.0,"Information Services, IT, Software Development, or other Technology",112377.0
United States of America,Master's Degree,4.0,Financial Services,120000.0
France,Master's Degree,7.0,"Information Services, IT, Software Development, or other Technology",50332.0
United States of America,Bachelor's Degree,5.0,"Manufacturing, Transportation, or Supply Chain",100000.0
Italy,Less than a Bachelor's,17.0,Healthcare,34269.0
United Kingdom and Northern Ireland,Master's Degree,8.0,"Information Services, IT, Software Development, or other Technology",117931.0
United Kingdom and Northern Ireland,Bachelor's Degree,11.0,Financial Services,93104.0
Germany,Bachelor's Degree,10.0,"Manufacturing, Transportation, or Supply Chain",85672.0
Germany,Master's Degree,9.0,Retail and Consumer Services,101735.0
United Kingdom and Northern Ireland,Bachelor's Degree,23.0,"Manufacturing, Transportation, or Supply Chain",94345.0
Germany,Bachelor's Degree,1.0,"Information Services, IT, Software Development, or other Technology",42836.0
United Kingdom and Northern Ireland,Bachelor's Degree,15.0,Advertising Services,99311.0
France,Master's Degree,15.0,"Information Services, IT, Software Development, or other Technology",56757.0
United Kingdom and Northern Ireland,Post Grad,15.0,"Information Services, IT, Software Development, or other Technology",54621.0
Australia,Master's Degree,1.0,Healthcare,39662.0
France,Master's Degree,8.0,"Information Services, IT, Software Development, or other Technology",69608.0
Netherlands,Bachelor's Degree,4.0,Other,128507.0
France,Master's Degree,8.0,"Manufacturing, Transportation, or Supply Chain",70679.0
Spain,Less than a Bachelor's,8.0,Retail and Consumer Services,37481.0
Spain,Master's Degree,14.0,Retail and Consumer Services,139216.0
United Kingdom and Northern Ireland,Bachelor's Degree,13.0,Retail and Consumer Services,148966.0
Canada,Post Grad,20.0,Higher Education,148703.0
Germany,Bachelor's Degree,12.0,Other,91026.0
France,Master's Degree,2.0,"Manufacturing, Transportation, or Supply Chain",46049.0
Netherlands,Bachelor's Degree,7.0,"Information Services, IT, Software Development, or other Technology",64254.0
Australia,Bachelor's Degree,6.0,"Information Services, IT, Software Development, or other Technology",132208.0
United States of America,Bachelor's Degree,12.0,Higher Education,100000.0
Spain,Bachelor's Degree,9.0,Other,43371.0
Italy,Master's Degree,0.5,"Information Services, IT, Software Development, or other Technology",12851.0
India,Bachelor's Degree,6.0,"Information Services, IT, Software Development, or other Technology",31504.0
United States of America,Master's Degree,7.0,"Information Services, IT, Software Development, or other Technology",168000.0
France,Master's Degree,8.0,"Information Services, IT, Software Development, or other Technology",42836.0
Canada,Less than a Bachelor's,35.0,"Information Services, IT, Software Development, or other Technology",89222.0
Germany,Less than a Bachelor's,12.0,"Information Services, IT, Software Development, or other Technology",107090.0
Germany,Bachelor's Degree,5.0,"Information Services, IT, Software Development, or other Technology",74963.0
United States of America,Bachelor's Degree,18.0,Healthcare,195000.0
United Kingdom and Northern Ireland,Bachelor's Degree,5.0,"Information Services, IT, Software Development, or other Technology",99311.0
India,Master's Degree,8.0,"Information Services, IT, Software Development, or other Technology",17448.0
Italy,Post Grad,24.0,"Information Services, IT, Software Development, or other Technology",57828.0
United Kingdom and Northern Ireland,Bachelor's Degree,14.0,Financial Services,93104.0
United Kingdom and Northern Ireland,Bachelor's Degree,7.0,"Manufacturing, Transportation, or Supply Chain",49655.0
Spain,Bachelor's Degree,25.0,Healthcare,40694.0
France,Master's Degree,15.0,Retail and Consumer Services,85672.0
Sweden,Less than a Bachelor's,5.0,"Information Services, IT, Software Development, or other Technology",46071.0
Spain,Bachelor's Degree,7.0,"Information Services, IT, Software Development, or other Technology",112444.0
Italy,Master's Degree,2.0,"Information Services, IT, Software Development, or other Technology",27843.0
United Kingdom and Northern Ireland,Master's Degree,9.0,Higher Education,51517.0
Italy,Less than a Bachelor's,14.0,"Manufacturing, Transportation, or Supply Chain",44978.0
Spain,Bachelor's Degree,8.0,Insurance,58899.0
United Kingdom and Northern Ireland,Master's Degree,6.0,"Information Services, IT, Software Development, or other Technology",99311.0
United Kingdom and Northern Ireland,Master's Degree,9.0,"Information Services, IT, Software Development, or other Technology",173793.0
Sweden,Master's Degree,25.0,Financial Services,67724.0
United States of America,Bachelor's Degree,2.0,"Information Services, IT, Software Development, or other Technology",90000.0
France,Master's Degree,6.0,"Information Services, IT, Software Development, or other Technology",48190.0
Italy,Less than a Bachelor's,12.0,"Information Services, IT, Software Development, or other Technology",64254.0
United Kingdom and Northern Ireland,Bachelor's Degree,8.0,"Information Services, IT, Software Development, or other Technology",99311.0
United Kingdom and Northern Ireland,Less than a Bachelor's,15.0,Other,149313.0
France,Master's Degree,11.0,"Information Services, IT, Software Development, or other Technology",74963.0
Netherlands,Bachelor's Degree,11.0,Financial Services,160634.0
United Kingdom and Northern Ireland,Post Grad,12.0,"Manufacturing, Transportation, or Supply Chain",64428.0
Italy,Master's Degree,15.0,"Information Services, IT, Software Development, or other Technology",85672.0
Germany,Master's Degree,4.0,Retail and Consumer Services,85672.0
India,Bachelor's Degree,13.0,"Manufacturing, Transportation, or Supply Chain",36351.0
United Kingdom and Northern Ireland,Bachelor's Degree,18.0,Other,93104.0
United Kingdom and Northern Ireland,Less than a Bachelor's,22.0,"Information Services, IT, Software Development, or other Technology",76966.0
Spain,Post Grad,4.0,"Information Services, IT, Software Development, or other Technology",39623.0
Germany,Master's Degree,8.0,Financial Services,93168.0
India,Bachelor's Degree,10.0,"Information Services, IT, Software Development, or other Technology",42409.0
France,Bachelor's Degree,14.0,"Information Services, IT, Software Development, or other Technology",128507.0
United Kingdom and Northern Ireland,Bachelor's Degree,3.0,"Information Services, IT, Software Development, or other Technology",37241.0
Netherlands,Less than a Bachelor's,15.0,"Information Services, IT, Software Development, or other Technology",112444.0
Netherlands,Less than a Bachelor's,10.0,"Information Services, IT, Software Development, or other Technology",107090.0
United States of America,Bachelor's Degree,23.0,"Information Services, IT, Software Development, or other Technology",170000.0
Canada,Post Grad,2.0,Other,78069.0
United Kingdom and Northern Ireland,Less than a Bachelor's,15.0,Financial Services,86897.0
France,Less than a Bachelor's,8.0,Healthcare,58899.0
United States of America,Bachelor's Degree,30.0,"Manufacturing, Transportation, or Supply Chain",165000.0
Germany,Master's Degree,8.0,"Information Services, IT, Software Development, or other Technology",107090.0
Germany,Bachelor's Degree,4.0,"Information Services, IT, Software Development, or other Technology",71750.0
Germany,Less than a Bachelor's,21.0,Advertising Services,80317.0
Germany,Bachelor's Degree,8.0,Legal Services,128507.0
United States of America,Bachelor's Degree,3.0,Retail and Consumer Services,80000.0
Germany,Less than a Bachelor's,4.0,"Information Services, IT, Software Development, or other Technology",54616.0
Germany,Master's Degree,10.0,"Information Services, IT, Software Development, or other Technology",115657.0
United States of America,Bachelor's Degree,17.0,Oil & Gas,100000.0
United Kingdom and Northern Ireland,Bachelor's Degree,10.0,"Information Services, IT, Software Development, or other Technology",86897.0
Poland,Bachelor's Degree,9.0,"Information Services, IT, Software Development, or other Technology",29573.0
Germany,Master's Degree,5.0,"Information Services, IT, Software Development, or other Technology",64254.0
United Kingdom and Northern Ireland,Bachelor's Degree,13.0,"Information Services, IT, Software Development, or other Technology",86897.0
France,Master's Degree,3.0,Other,40159.0
Germany,Master's Degree,4.0,"Information Services, IT, Software Development, or other Technology",58899.0
Netherlands,Bachelor's Degree,10.0,Financial Services,82459.0
United States of America,Bachelor's Degree,5.0,"Information Services, IT, Software Development, or other Technology",190000.0
United States of America,Master's Degree,4.0,Financial Services,150000.0
Germany,Master's Degree,12.0,"Manufacturing, Transportation, or Supply Chain",89955.0
United Kingdom and Northern Ireland,Bachelor's Degree,9.0,"Information Services, IT, Software Development, or other Technology",74483.0
Spain,Master's Degree,2.0,Healthcare,32127.0
France,Master's Degree,5.0,"Manufacturing, Transportation, or Supply Chain",38552.0
United Kingdom and Northern Ireland,Less than a Bachelor's,2.0,"Information Services, IT, Software Development, or other Technology",29793.0
Germany,Post Grad,15.0,"Information Services, IT, Software Development, or other Technology",144571.0
United States of America,Bachelor's Degree,23.0,"Manufacturing, Transportation, or Supply Chain",120000.0
United States of America,Bachelor's Degree,0.5,"Manufacturing, Transportation, or Supply Chain",127000.0
Poland,Bachelor's Degree,1.0,Other,16748.0
Germany,Master's Degree,10.0,Healthcare,85672.0
India,Bachelor's Degree,19.0,"Information Services, IT, Software Development, or other Technology",90877.0
India,Master's Degree,6.0,Financial Services,30292.0
United Kingdom and Northern Ireland,Bachelor's Degree,19.0,Financial Services,100552.0
United Kingdom and Northern Ireland,Master's Degree,4.0,Financial Services,198621.0
Australia,Less than a Bachelor's,9.0,"Information Services, IT, Software Development, or other Technology",80000.0
Netherlands,Bachelor's Degree,24.0,"Information Services, IT, Software Development, or other Technology",85672.0
Australia,Post Grad,15.0,Other,92545.0
United Kingdom and Northern Ireland,Bachelor's Degree,9.0,"Information Services, IT, Software Development, or other Technology",49655.0
Netherlands,Master's Degree,13.0,Financial Services,48190.0
United Kingdom and Northern Ireland,Less than a Bachelor's,20.0,Other,109242.0
Spain,Master's Degree,9.0,"Manufacturing, Transportation, or Supply Chain",70679.0
United Kingdom and Northern Ireland,Less than a Bachelor's,1.0,Retail and Consumer Services,38483.0
Italy,Master's Degree,0.5,"Information Services, IT, Software Development, or other Technology",41765.0
Germany,Bachelor's Degree,1.0,Financial Services,51403.0
Brazil,Less than a Bachelor's,3.0,Financial Services,16433.0
Italy,Master's Degree,7.0,"Information Services, IT, Software Development, or other Technology",26772.0
United States of America,Bachelor's Degree,7.0,"Manufacturing, Transportation, or Supply Chain",160000.0
Poland,Bachelor's Degree,5.0,"Manufacturing, Transportation, or Supply Chain",20098.0
Netherlands,Bachelor's Degree,4.0,Higher Education,55687.0
United States of America,Bachelor's Degree,4.0,Advertising Services,112000.0
Germany,Less than a Bachelor's,5.0,"Information Services, IT, Software Development, or other Technology",41765.0
India,Master's Degree,16.0,"Information Services, IT, Software Development, or other Technology",66643.0
Sweden,Less than a Bachelor's,3.0,Retail and Consumer Services,53295.0
United Kingdom and Northern Ireland,Bachelor's Degree,30.0,"Manufacturing, Transportation, or Supply Chain",69517.0
Sweden,Less than a Bachelor's,17.0,"Information Services, IT, Software Development, or other Technology",211925.0
Germany,Master's Degree,30.0,Financial Services,85672.0
Germany,Post Grad,15.0,"Information Services, IT, Software Development, or other Technology",117798.0
United Kingdom and Northern Ireland,Post Grad,25.0,Higher Education,93104.0
Netherlands,Bachelor's Degree,4.0,"Information Services, IT, Software Development, or other Technology",53545.0
United Kingdom and Northern Ireland,Less than a Bachelor's,7.0,"Information Services, IT, Software Development, or other Technology",136552.0
United Kingdom and Northern Ireland,Master's Degree,1.0,Healthcare,52138.0
United Kingdom and Northern Ireland,Less than a Bachelor's,18.0,Financial Services,109924.0
United States of America,Bachelor's Degree,4.0,Healthcare,150000.0
France,Master's Degree,8.0,Other,62112.0
United States of America,Less than a Bachelor's,7.0,Oil & Gas,260000.0
United Kingdom and Northern Ireland,Bachelor's Degree,25.0,"Information Services, IT, Software Development, or other Technology",117931.0
United States of America,Bachelor's Degree,0.5,Other,100000.0
United Kingdom and Northern Ireland,Bachelor's Degree,9.0,"Information Services, IT, Software Development, or other Technology",74483.0
France,Less than a Bachelor's,8.0,Other,74963.0
Germany,Bachelor's Degree,1.0,"Information Services, IT, Software Development, or other Technology",57828.0
Netherlands,Less than a Bachelor's,14.0,Retail and Consumer Services,91026.0
Germany,Bachelor's Degree,3.0,Financial Services,56757.0
India,Bachelor's Degree,7.0,"Information Services, IT, Software Development, or other Technology",13329.0
France,Less than a Bachelor's,13.0,"Information Services, IT, Software Development, or other Technology",69608.0
United Kingdom and Northern Ireland,Master's Degree,9.0,Financial Services,117931.0
France,Master's Degree,7.0,"Manufacturing, Transportation, or Supply Chain",47119.0
France,Master's Degree,4.0,"Information Services, IT, Software Development, or other Technology",55687.0
United Kingdom and Northern Ireland,Post Grad,10.0,Higher Education,55135.0
Canada,Less than a Bachelor's,15.0,Other,79556.0
Netherlands,Bachelor's Degree,0.5,"Manufacturing, Transportation, or Supply Chain",33412.0
United Kingdom and Northern Ireland,Bachelor's Degree,3.0,"Information Services, IT, Software Development, or other Technology",52138.0
Germany,Master's Degree,14.0,Other,87813.0
Poland,Bachelor's Degree,8.0,Healthcare,83742.0
France,Master's Degree,1.0,"Information Services, IT, Software Development, or other Technology",40694.0
France,Master's Degree,6.0,"Information Services, IT, Software Development, or other Technology",57828.0
United Kingdom and Northern Ireland,Bachelor's Degree,19.0,Other,86897.0
Poland,Master's Degree,6.0,Advertising Services,71779.0
Brazil,Less than a Bachelor's,7.0,"Information Services, IT, Software Development, or other Technology",10144.0
United States of America,Master's Degree,10.0,"Manufacturing, Transportation, or Supply Chain",170000.0
United States of America,Bachelor's Degree,9.0,Other,135000.0
United States of America,Bachelor's Degree,5.0,Other,140000.0
France,Less than a Bachelor's,2.0,"Information Services, IT, Software Development, or other Technology",41765.0
India,Bachelor's Degree,3.0,"Information Services, IT, Software Development, or other Technology",12117.0
Canada,Master's Degree,20.0,"Information Services, IT, Software Development, or other Technology",115000.0
Germany,Master's Degree,13.0,Other,44978.0
Germany,Master's Degree,7.0,"Information Services, IT, Software Development, or other Technology",32127.0
United Kingdom and Northern Ireland,Less than a Bachelor's,9.0,Other,93104.0
Netherlands,Master's Degree,14.0,Financial Services,107090.0
France,Less than a Bachelor's,22.0,"Information Services, IT, Software Development, or other Technology",64254.0
Germany,Less than a Bachelor's,1.0,"Information Services, IT, Software Development, or other Technology",64254.0
France,Bachelor's Degree,4.0,Healthcare,42836.0
United States of America,Bachelor's Degree,12.0,Financial Services,300000.0
Germany,Master's Degree,0.5,"Information Services, IT, Software Development, or other Technology",56757.0
Germany,Master's Degree,5.0,"Information Services, IT, Software Development, or other Technology",51403.0
Italy,Less than a Bachelor's,2.0,Other,48190.0
France,Bachelor's Degree,8.0,"Information Services, IT, Software Development, or other Technology",80317.0
United Kingdom and Northern Ireland,Bachelor's Degree,1.0,"Information Services, IT, Software Development, or other Technology",55862.0
Italy,Less than a Bachelor's,5.0,Oil & Gas,39623.0
United Kingdom and Northern Ireland,Bachelor's Degree,6.0,"Manufacturing, Transportation, or Supply Chain",65793.0
Germany,Master's Degree,3.0,"Information Services, IT, Software Development, or other Technology",55258.0
France,Master's Degree,5.0,"Information Services, IT, Software Development, or other Technology",64254.0
Germany,Bachelor's Degree,8.0,Financial Services,74963.0
United States of America,Less than a Bachelor's,6.0,"Manufacturing, Transportation, or Supply Chain",150000.0
France,Master's Degree,1.0,Other,36410.0
United Kingdom and Northern Ireland,Less than a Bachelor's,43.0,Insurance,93104.0
Poland,Bachelor's Degree,4.0,"Information Services, IT, Software Development, or other Technology",35889.0
France,Bachelor's Degree,15.0,Other,58899.0
France,Master's Degree,12.0,Retail and Consumer Services,62112.0
Italy,Less than a Bachelor's,17.0,"Information Services, IT, Software Development, or other Technology",69608.0
Germany,Bachelor's Degree,21.0,"Information Services, IT, Software Development, or other Technology",77104.0
Canada,Less than a Bachelor's,4.0,"Information Services, IT, Software Development, or other Technology",55764.0
United States of America,Bachelor's Degree,3.0,"Manufacturing, Transportation, or Supply Chain",130000.0
United Kingdom and Northern Ireland,Less than a Bachelor's,2.0,Other,37359.0
France,Master's Degree,12.0,Other,80317.0
Netherlands,Master's Degree,6.0,"Information Services, IT, Software Development, or other Technology",47119.0
France,Bachelor's Degree,15.0,Advertising Services,91026.0
United States of America,Less than a Bachelor's,6.0,Financial Services,85000.0
Poland,Master's Degree,3.0,"Information Services, IT, Software Development, or other Technology",26319.0
Germany,Post Grad,10.0,Other,91026.0
Brazil,Bachelor's Degree,7.0,"Information Services, IT, Software Development, or other Technology",18259.0
Spain,Bachelor's Degree,8.0,"Information Services, IT, Software Development, or other Technology",91026.0
Canada,Bachelor's Degree,23.0,"Information Services, IT, Software Development, or other Technology",81787.0
Canada,Bachelor's Degree,5.0,Other,54277.0
Sweden,Master's Degree,12.0,"Information Services, IT, Software Development, or other Technology",56022.0
United Kingdom and Northern Ireland,Bachelor's Degree,17.0,Advertising Services,89379.0
Germany,Master's Degree,3.0,Higher Education,48190.0
France,Master's Degree,2.0,"Information Services, IT, Software Development, or other Technology",59970.0
India,Bachelor's Degree,14.0,"Information Services, IT, Software Development, or other Technology",78760.0
Sweden,Less than a Bachelor's,28.0,Higher Education,52189.0
Australia,Bachelor's Degree,6.0,Financial Services,92545.0
Poland,Master's Degree,20.0,Healthcare,102883.0
United Kingdom and Northern Ireland,Less than a Bachelor's,10.0,"Information Services, IT, Software Development, or other Technology",96828.0
Germany,Master's Degree,4.0,"Information Services, IT, Software Development, or other Technology",80317.0
France,Bachelor's Degree,15.0,Other,48190.0
Germany,Less than a Bachelor's,3.0,"Manufacturing, Transportation, or Supply Chain",64254.0
Spain,Less than a Bachelor's,3.0,Financial Services,37481.0
Germany,Post Grad,8.0,Higher Education,95096.0
France,Master's Degree,2.0,"Information Services, IT, Software Development, or other Technology",65325.0
United Kingdom and Northern Ireland,Bachelor's Degree,2.0,Other,86897.0
Brazil,Bachelor's Degree,3.0,"Information Services, IT, Software Development, or other Technology",16230.0
Sweden,Less than a Bachelor's,23.0,Other,58049.0
Brazil,Bachelor's Degree,13.0,"Information Services, IT, Software Development, or other Technology",34489.0
Germany,Post Grad,10.0,Healthcare,117798.0
United Kingdom and Northern Ireland,Master's Degree,7.0,"Information Services, IT, Software Development, or other Technology",76966.0
Sweden,Post Grad,3.0,Higher Education,77399.0
Brazil,Bachelor's Degree,6.0,"Information Services, IT, Software Development, or other Technology",26374.0
France,Master's Degree,4.0,Other,48190.0
Brazil,Bachelor's Degree,5.0,"Information Services, IT, Software Development, or other Technology",26374.0
Germany,Post Grad,14.0,"Information Services, IT, Software Development, or other Technology",117798.0
United States of America,Bachelor's Degree,6.0,"Information Services, IT, Software Development, or other Technology",145000.0
France,Master's Degree,4.0,"Information Services, IT, Software Development, or other Technology",53545.0
Brazil,Bachelor's Degree,10.0,"Information Services, IT, Software Development, or other Technology",12173.0
Sweden,Less than a Bachelor's,1.0,"Information Services, IT, Software Development, or other Technology",39252.0
Germany,Master's Degree,14.0,Higher Education,62112.0
United Kingdom and Northern Ireland,Bachelor's Degree,8.0,Advertising Services,80690.0
Spain,Bachelor's Degree,12.0,Other,107090.0
Brazil,Bachelor's Degree,17.0,"Information Services, IT, Software Development, or other Technology",131869.0
Brazil,Less than a Bachelor's,30.0,"Information Services, IT, Software Development, or other Technology",100000.0
Germany,Master's Degree,30.0,"Information Services, IT, Software Development, or other Technology",107090.0
Canada,Less than a Bachelor's,10.0,"Manufacturing, Transportation, or Supply Chain",66916.0
Germany,Bachelor's Degree,8.0,Healthcare,85672.0
United Kingdom and Northern Ireland,Master's Degree,0.5,"Information Services, IT, Software Development, or other Technology",32276.0
Germany,Master's Degree,8.0,"Information Services, IT, Software Development, or other Technology",94239.0
Germany,Bachelor's Degree,7.0,Healthcare,64254.0
France,Master's Degree,8.0,"Information Services, IT, Software Development, or other Technology",32341.0
Brazil,Bachelor's Degree,17.0,"Information Services, IT, Software Development, or other Technology",29417.0
United Kingdom and Northern Ireland,Bachelor's Degree,15.0,Other,78207.0
France,Master's Degree,5.0,"Information Services, IT, Software Development, or other Technology",51403.0
Germany,Master's Degree,1.0,"Information Services, IT, Software Development, or other Technology",80317.0
Germany,Master's Degree,13.0,"Manufacturing, Transportation, or Supply Chain",87813.0
Brazil,Less than a Bachelor's,3.0,"Information Services, IT, Software Development, or other Technology",18462.0
Spain,Post Grad,5.0,Advertising Services,38552.0
India,Bachelor's Degree,10.0,"Information Services, IT, Software Development, or other Technology",90877.0
Germany,Master's Degree,17.0,"Information Services, IT, Software Development, or other Technology",101735.0
France,Bachelor's Degree,7.0,Retail and Consumer Services,53545.0
United States of America,Bachelor's Degree,3.0,"Information Services, IT, Software Development, or other Technology",87010.0
Brazil,Master's Degree,9.0,Legal Services,48690.0
Brazil,Bachelor's Degree,15.0,Other,57820.0
United States of America,Master's Degree,5.0,"Information Services, IT, Software Development, or other Technology",250000.0
Netherlands,Bachelor's Degree,7.0,"Manufacturing, Transportation, or Supply Chain",57828.0
United Kingdom and Northern Ireland,Bachelor's Degree,9.0,"Information Services, IT, Software Development, or other Technology",55862.0
Germany,Less than a Bachelor's,2.0,"Information Services, IT, Software Development, or other Technology",42836.0
Germany,Bachelor's Degree,20.0,Higher Education,68537.0
United States of America,Bachelor's Degree,4.0,Other,85000.0
Germany,Less than a Bachelor's,10.0,"Information Services, IT, Software Development, or other Technology",63932.0
Germany,Bachelor's Degree,8.0,Other,112444.0
United States of America,Bachelor's Degree,16.0,"Information Services, IT, Software Development, or other Technology",240000.0
United States of America,Bachelor's Degree,2.0,"Information Services, IT, Software Development, or other Technology",104500.0
Brazil,Less than a Bachelor's,4.0,"Information Services, IT, Software Development, or other Technology",48690.0
United States of America,Master's Degree,15.0,"Information Services, IT, Software Development, or other Technology",180000.0
Poland,Bachelor's Degree,5.0,Financial Services,47852.0
United States of America,Bachelor's Degree,3.0,"Information Services, IT, Software Development, or other Technology",185000.0
Canada,Less than a Bachelor's,4.0,"Information Services, IT, Software Development, or other Technology",89222.0
United States of America,Post Grad,11.0,"Information Services, IT, Software Development, or other Technology",220000.0
United States of America,Bachelor's Degree,7.0,"Information Services, IT, Software Development, or other Technology",120000.0
United Kingdom and Northern Ireland,Bachelor's Degree,7.0,"Information Services, IT, Software Development, or other Technology",62069.0
Germany,Less than a Bachelor's,8.0,"Information Services, IT, Software Development, or other Technology",64254.0
United Kingdom and Northern Ireland,Master's Degree,2.0,Other,62069.0
Brazil,Bachelor's Degree,5.0,"Information Services, IT, Software Development, or other Technology",46662.0
United States of America,Bachelor's Degree,2.0,"Information Services, IT, Software Development, or other Technology",90000.0
United States of America,Bachelor's Degree,4.0,Healthcare,115000.0
Germany,Less than a Bachelor's,7.0,Healthcare,74963.0
United Kingdom and Northern Ireland,Bachelor's Degree,14.0,Other,66414.0
India,Bachelor's Degree,3.0,"Information Services, IT, Software Development, or other Technology",58161.0
Sweden,Bachelor's Degree,3.0,"Information Services, IT, Software Development, or other Technology",53836.0
United Kingdom and Northern Ireland,Bachelor's Degree,5.0,"Information Services, IT, Software Development, or other Technology",68276.0
United States of America,Bachelor's Degree,9.0,"Manufacturing, Transportation, or Supply Chain",120000.0
Canada,Master's Degree,15.0,"Manufacturing, Transportation, or Supply Chain",63199.0
Germany,Bachelor's Degree,3.0,"Information Services, IT, Software Development, or other Technology",74963.0
Italy,Master's Degree,5.0,"Information Services, IT, Software Development, or other Technology",54616.0
United States of America,Bachelor's Degree,15.0,Retail and Consumer Services,240000.0
United Kingdom and Northern Ireland,Master's Degree,3.0,Financial Services,80690.0
Sweden,Less than a Bachelor's,22.0,Insurance,57496.0
Germany,Master's Degree,5.0,Higher Education,63385.0
Brazil,Bachelor's Degree,6.0,Higher Education,17457.0
Brazil,Bachelor's Degree,5.0,"Information Services, IT, Software Development, or other Technology",32866.0
United Kingdom and Northern Ireland,Master's Degree,6.0,"Information Services, IT, Software Development, or other Technology",44690.0
Brazil,Bachelor's Degree,26.0,Legal Services,36518.0
United Kingdom and Northern Ireland,Bachelor's Degree,15.0,"Information Services, IT, Software Development, or other Technology",93104.0
Spain,Bachelor's Degree,17.0,Other,53545.0
Germany,Master's Degree,9.0,Higher Education,62355.0
United States of America,Master's Degree,25.0,Other,215000.0
Germany,Master's Degree,15.0,Financial Services,82459.0
Germany,Post Grad,5.0,Higher Education,64254.0
Canada,Bachelor's Degree,7.0,"Manufacturing, Transportation, or Supply Chain",70262.0
Brazil,Less than a Bachelor's,46.0,Legal Services,40575.0
India,Bachelor's Degree,5.0,"Information Services, IT, Software Development, or other Technology",55738.0
Brazil,Post Grad,33.0,Higher Education,44552.0
Canada,Less than a Bachelor's,5.0,Other,107810.0
Canada,Bachelor's Degree,5.0,Higher Education,55764.0
Brazil,Bachelor's Degree,14.0,"Information Services, IT, Software Development, or other Technology",111582.0
Brazil,Bachelor's Degree,15.0,"Information Services, IT, Software Development, or other Technology",33475.0
Brazil,Bachelor's Degree,17.0,Healthcare,85000.0
United States of America,Post Grad,21.0,Higher Education,84000.0
Germany,Bachelor's Degree,12.0,"Information Services, IT, Software Development, or other Technology",85672.0
United States of America,Less than a Bachelor's,9.0,"Information Services, IT, Software Development, or other Technology",92000.0
United Kingdom and Northern Ireland,Post Grad,14.0,Insurance,144599.0
Sweden,Master's Degree,11.0,"Information Services, IT, Software Development, or other Technology",49756.0
United Kingdom and Northern Ireland,Bachelor's Degree,1.0,"Information Services, IT, Software Development, or other Technology",51517.0
Spain,Bachelor's Degree,9.0,Other,59970.0
United States of America,Master's Degree,20.0,Higher Education,81000.0
Poland,Bachelor's Degree,7.0,"Information Services, IT, Software Development, or other Technology",105275.0
United States of America,Bachelor's Degree,12.0,"Information Services, IT, Software Development, or other Technology",220000.0
United States of America,Bachelor's Degree,6.0,"Manufacturing, Transportation, or Supply Chain",104000.0
United Kingdom and Northern Ireland,Master's Degree,0.5,"Manufacturing, Transportation, or Supply Chain",37862.0
United Kingdom and Northern Ireland,Bachelor's Degree,2.0,Healthcare,34759.0
United States of America,Bachelor's Degree,6.0,Financial Services,125000.0
United Kingdom and Northern Ireland,Master's Degree,11.0,"Information Services, IT, Software Development, or other Technology",90621.0
United States of America,Less than a Bachelor's,6.0,"Information Services, IT, Software Development, or other Technology",93000.0
United Kingdom and Northern Ireland,Bachelor's Degree,8.0,"Information Services, IT, Software Development, or other Technology",117931.0
United Kingdom and Northern Ireland,Master's Degree,0.5,"Information Services, IT, Software Development, or other Technology",74483.0
United Kingdom and Northern Ireland,Bachelor's Degree,28.0,Other,218483.0
Spain,Bachelor's Degree,29.0,"Information Services, IT, Software Development, or other Technology",57828.0
Germany,Bachelor's Degree,20.0,Other,85672.0
United States of America,Bachelor's Degree,7.0,"Information Services, IT, Software Development, or other Technology",180000.0
Netherlands,Bachelor's Degree,5.0,"Information Services, IT, Software Development, or other Technology",38402.0
Brazil,Bachelor's Degree,4.0,"Information Services, IT, Software Development, or other Technology",40575.0
Canada,Bachelor's Degree,4.0,"Information Services, IT, Software Development, or other Technology",66916.0
Brazil,Bachelor's Degree,9.0,"Information Services, IT, Software Development, or other Technology",46256.0
United Kingdom and Northern Ireland,Bachelor's Degree,5.0,Financial Services,37241.0
Germany,Master's Degree,9.0,"Information Services, IT, Software Development, or other Technology",64254.0
United Kingdom and Northern Ireland,Bachelor's Degree,12.0,Financial Services,55862.0
France,Master's Degree,30.0,"Information Services, IT, Software Development, or other Technology",58899.0
Sweden,Less than a Bachelor's,23.0,Advertising Services,128998.0
Germany,Master's Degree,8.0,"Information Services, IT, Software Development, or other Technology",66396.0
